feature_rank,feature_id,collage_path,activation_mean,activation_max,num_images,interpretation
1,20463,./assets/report_collages\feature_20463.jpg,0.8763531446456909,2.0804026126861572,12,
2,13408,./assets/report_collages\feature_13408.jpg,0.857416033744812,2.0875790119171143,12,
3,17411,./assets/report_collages\feature_17411.jpg,0.7671055793762207,1.7288187742233276,12,
4,4060,./assets/report_collages\feature_04060.jpg,0.6665779948234558,2.0068094730377197,12,
5,19603,./assets/report_collages\feature_19603.jpg,0.5840059518814087,1.6645218133926392,12,
6,30987,./assets/report_collages\feature_30987.jpg,0.5827875137329102,1.8939971923828125,12,
7,25914,./assets/report_collages\feature_25914.jpg,0.5738084316253662,1.623797059059143,12,
8,12772,./assets/report_collages\feature_12772.jpg,0.5680529475212097,1.6277517080307007,12,
9,33505,./assets/report_collages\feature_33505.jpg,0.5621421933174133,1.7497162818908691,12,
10,3682,./assets/report_collages\feature_03682.jpg,0.548766553401947,1.8691761493682861,12,
11,21332,./assets/report_collages\feature_21332.jpg,0.4872106909751892,1.7225040197372437,12,
12,30540,./assets/report_collages\feature_30540.jpg,0.4834888279438019,1.5126560926437378,12,
13,10407,./assets/report_collages\feature_10407.jpg,0.4820007383823395,1.674926996231079,12,
14,33946,./assets/report_collages\feature_33946.jpg,0.4534090757369995,1.5276246070861816,12,
15,3304,./assets/report_collages\feature_03304.jpg,0.44165942072868347,1.6308293342590332,12,
16,17125,./assets/report_collages\feature_17125.jpg,0.4379574656486511,1.5388542413711548,12,
17,8681,./assets/report_collages\feature_08681.jpg,0.43725326657295227,1.7253528833389282,12,
18,29282,./assets/report_collages\feature_29282.jpg,0.435407817363739,1.6454588174819946,12,
19,43315,./assets/report_collages\feature_43315.jpg,0.4326641261577606,1.7496312856674194,12,
20,7867,./assets/report_collages\feature_07867.jpg,0.4256718158721924,1.4991780519485474,12,
21,23653,./assets/report_collages\feature_23653.jpg,0.4225051701068878,1.7813435792922974,12,
22,45136,./assets/report_collages\feature_45136.jpg,0.4223061501979828,1.4795358180999756,12,
23,40298,./assets/report_collages\feature_40298.jpg,0.42170214653015137,1.5555874109268188,12,
